"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
37,"NCT04230759","Radiochemotherapy +/- Durvalumab for Locally-advanced Anal Carcinoma. A Multicenter, Randomized, Phase II Trial of the German Anal Cancer Study Group","RADIANCE","Recruiting","No Results Available","Anal Cancer|Anal Carcinoma|Anal Cancer Stage III|Anal Cancer Stage II","Drug: Chemotherapy|Radiation: Radiation|Drug: Durvalumab","Disease-free survival (DFS)|Major adverse events|cCR|Overall survival|Colostomy-free survival|Cumulative incidence of locoregional recurrence|Cumulative incidence of distant recurrence|Quality of life questionnaires","Goethe University","All","18 Years and older   (Adult, Older Adult)","Phase 2","178","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RADIANCE|2018-003005-25|70113615|ESR-17-13077","January 15, 2020","March 31, 2023","June 30, 2026","January 18, 2020",,"January 23, 2020","Radioonkologie und Strahlentherapie, Berlin, Germany|Institut für Radioonkologie und Strahlentherapie, Darmstadt, Germany|Klinik und Poliklinik für Strahlentherapie und Radioonkologie, Dresden, Germany|Klinik und Poliklinik für Strahlentherapie, Essen, Germany|University Hospital Goethe University Frankfurt, Frankfurt, Germany|Klinik für Strahlenheilkunde, Universitätsklinikum Freiburg, Freiburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|RadioOnkologie und Strahlentherapie, Universitätsklinikum Heidelberg, Heidelberg, Germany|UKSH Campus Kiel, Kiel, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitätsklinikum Magdeburg, Magdeburg, Germany|Universitätsmedizin Mainz, Mainz, Germany|Uniklinikum Marburg, Marburg, Germany|Kliniken Maria Hilf GmbH Mönchengladbach, Mönchengladbach, Germany|LMU Klinikum der Universität München, München, Germany|Technische Universität München, München, Germany|Universitätsklinikum Regensburg, Regensburg, Germany|Universitätsklinikum Rostock, Rostock, Germany|Universitätsklinik Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|UniversitätsSpital Zürich, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04230759"
38,"NCT04020185","Safety and Efficacy Study of IMSA101 in Refractory Malignancies",,"Recruiting","No Results Available","Solid Tumor, Adult","Drug: IMSA101|Drug: Immune checkpoint inhibitor (ICI)|Drug: Immuno-oncology (IO) therapy","Maximum Tolerated Dose|Pharmacokinetic Sampling (Ph I)|Anti-tumor Effects","ImmuneSensor Therapeutics Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","115","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IMSA101-101","September 23, 2019","February 16, 2023","February 16, 2023","July 15, 2019",,"January 22, 2020","Honor Health, Scottsdale, Arizona, United States|Northwestern University, Chicago, Illinois, United States|UT Southwestern, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04020185"
39,"NCT03734692","Systemic Immune Checkpoint Blockade and Intraperitoneal Chemo-Immunotherapy in Recurrent Ovarian Cancer",,"Recruiting","No Results Available","Ovarian Cancer Recurrent","Drug: Rintatolimod|Drug: Pembrolizumab|Drug: Cisplatin","Objective Response Rate (ORR)|Progression-Free Survival (PFS)|Change in number of CD8+ cells|Change in number of CD3+ cells","Robert Edwards|AIM ImmunoTech Inc.|Merck Sharp & Dohme Corp.|University of Pittsburgh","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","45","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HCC 18-087","January 28, 2019","February 20, 2021","November 20, 2023","November 8, 2018",,"December 3, 2019","Magee-Womens Hospital of UPMC, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03734692"
40,"NCT04350463","A Safety and Efficacy Study of CC-90011 in Combination With Nivolumab in Subjects With Advanced Cancers",,"Not yet recruiting","No Results Available","Neoplasms","Drug: CC-90011|Drug: Nivolumab","Overall response rate|Adverse Events (AEs)|Duration of response|Progression-free survival|Overall Survival","Celgene","All","18 Years and older   (Adult, Older Adult)","Phase 2","135","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CC-90011-ST-002|U1111-1248-8352|2019-004194-95","May 4, 2020","October 22, 2022","July 13, 2024","April 17, 2020",,"April 29, 2020","Augusta University - Georgia Cancer Center, Augusta, Georgia, United States|Joliet Oncology-Hematology Associates, Ltd., Joliet, Illinois, United States|Investigative Clinical Research of Indiana, LLC, Indianapolis, Indiana, United States|Memorial Sloan-Kettering Cancer Center - David H. Koch Center for Cancer Care, New York, New York, United States|Novant Health Presbyterian Medical Center, Charlotte, North Carolina, United States|Piedmont Hematology Oncology Associates, Winston-Salem, North Carolina, United States|Gabrail Cancer Center Research, Canton, Ohio, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Brooke Army Medical Center Francis Street Medical Center, Fort Sam Houston, Texas, United States|Millennium Oncology, Houston, Texas, United States|Virginia Cancer Specialists, PC, Fairfax, Virginia, United States|CHU de Grenoble Alpes Hopital Nord, Grenoble cedex 9, France|Hospital Le Timone, Marseille Cedex 5, France|Hospital Pontchaillou, Rennes, France|CHU Nantes Hopital Nord Laennec, Saint-Herblain, France|Gustave Roussy, Villejuif CEDEX, France|DRK-Kliniken Berlin Mitte, Berlin, Germany|Lungenklinik Hemer, Hemer, Germany|Lungenfachklinik Immenhausen Pneumologische Lehrklinik der Universitaet Goettingen, Immenhausen, Germany|Klinik Loewenstein gGmbH, Loewenstein, Germany|Centro di Riferimento Oncologico, Aviano, Italy|Azienda Ospedaliera Istituti Ospitalieri di Cremona, Cremona, Italy|Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy|Policlinico Universitario Campus Biomedico Di Roma, Roma, Italy|Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy|Hospital Universitari Germans Trias i Pujol Can Ruti, Badalona (Barcelona), Spain|Hospital Quiron Barcelona, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Clinica Universidad de Navarra, Madrid, Spain|Hospital Universitario Fundacion Jimenez Diaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Clinica Universidad de Navarra, Pamplona, Spain|Hospital Universitari i Politecnic La Fe de Valencia, Valencia, Spain|Clatterbridge Centre for Oncology NHS Trust, Bebington, Wirral, United Kingdom|The Royal Marsden Hospital, London, United Kingdom|The Christie NHS Foundation Trust, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04350463"
41,"NCT02805660","Phase 1/2 Study of Mocetinostat and Durvalumab in Patients With Advanced Solid Tumors and NSCLC",,"Active, not recruiting","No Results Available","Advanced Cancer","Drug: mocetinostat|Drug: durvalumab","Incidence of dose limiting toxicities|Number of patients experiencing tumor size reduction|Number of patients experiencing Adverse Events|Blood plasma MGCD0103 concentration|Blood plasma MEDI4736 concentration","Mirati Therapeutics Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","119","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0103-020","May 2016","April 2019","July 2020","June 20, 2016",,"June 11, 2019","Southern Cancer Center, PC, Mobile, Alabama, United States|David Geffen School of Medicine at UCLA, Los Angeles, California, United States|Woodlands Medical Specialists - Pensacola, Pensacola, Florida, United States|Robert H. Lurie Comprehensive Cancer Center of Northwestern University, Chicago, Illinois, United States|NorthShore University Health System, Evanston, Illinois, United States|Unniversity of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Montefiore Medical Center, Bronx, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|Mary Crowley Cancer Research Centers, Dallas, Texas, United States|Texas Oncology - Denton South, Denton, Texas, United States|Texas Oncology-Plano West, Plano, Texas, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States|Shenandoah Oncology - Winchester, Winchester, Virginia, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT02805660"
42,"NCT04180215","A Phase I/II Study of TheraT® Vector(s) Expressing Human Papillomavirus 16 Positive (HPV 16+) Specific Antigens in Patients With HPV 16+ Confirmed Cancers",,"Recruiting","No Results Available","HPV-Related Squamous Cell Carcinoma","Drug: HB-201 intravenous administration|Drug: HB-201 intratumoral administration on first cycle, followed by HB-201 intravenous administration on subsequent cycles","Recommended Phase 2 Dose (RP2D) for IV administration|Recommended Phase 2 Dose (RP2D) for IT administration|Number of patients receiving IV HB-201 experiencing treatment-emergent adverse events.|Number of patients receiving IT HB-201 experiencing treatment-emergent adverse events|Number of patients receiving IV HB-201 with tumor response throughout the study using RECIST v1.1 and/or iRECIST|Number of patients receiving IT HB-201 with tumor response throughout the study using RECIST v1.1 and/or iRECIST|Characterization of preliminary immunogenic properties of IV administration by intracellular staining and ELISpot assay.|Characterization of preliminary immunogenic properties of IT administration","Hookipa Biotech","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","100","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-200-001|2019-000907-34","December 11, 2019","January 2022","June 2022","November 27, 2019",,"May 7, 2020","Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|USC/Norris Comprehensive Cancer Center, Los Angeles, California, United States|Sylvester Comprehensive Cancer Center, Miami, Florida, United States|University of Kansas Medical Center, Fairway, Kansas, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Montefiore-Einstein Center for Cancer Care, Bronx, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Providence Portland Medical Center, Portland, Oregon, United States|Greenville Hospital System University Medical Center (ITOR), Greenville, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04180215"
43,"NCT02664181","Rational EpigenetiC Immunotherapy for SEcond Line Therapy in Patients With NSCLC: PRECISE Trial","PRECISE","Completed","No Results Available","Lung Cancer|Non-small Cell Lung Cancer","Drug: Nivolumab|Drug: oral decitabine|Drug: Tetrahydrouridine","Objective response by Response Evaluation Criteria in Solid Tumors (RECIST1.1)|Progression-free survival|Overall survival","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","13","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE3516","June 6, 2017","July 2, 2019","July 2, 2019","January 26, 2016",,"July 10, 2019","Center for Cancer Research, Bethesda, Maryland, United States|Cleveland Clinic Taussig Cancer Institute, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02664181"
44,"NCT04394624","SAR408701 in Combination With Ramucirumab in Pre-treated Patients With Non Squamous Non-small Cell Lung Cancer (NSQ NSCLC)","CARMEN-LC04","Not yet recruiting","No Results Available","Non-small Cell Lung Cancer Metastatic","Drug: SAR408701|Drug: ramucirumab","Part 1: Incidence of study drug-related dose-limiting toxicity (DLT) at Cycle 1 and Cycle 2|Part 2: Objective response rate|Incidence of treatment emergent adverse events (TEAEs) and serious adverse events (SAEs)|Duration of response (DOR)|Progression-free survival (PFS)|PK - Cmax of SAR408701|PK - AUC0-14d of SAR408701|PK - Ctrough of SAR408701|Ctrough of ramucirumab|Incidence of anti-therapeutic antibodies (ATAs) against SAR408701","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","36","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACT16525|2019-003914-15|U1111-1244-1585","June 5, 2020","October 14, 2021","February 2022","May 19, 2020",,"May 19, 2020",,,"https://ClinicalTrials.gov/show/NCT04394624"
45,"NCT04029181","ImmunoPET With an Anti-CD8 Imaging Agent",,"Recruiting","No Results Available","Metastatic Cancer|Unresectable Malignant Neoplasm","Other: Anti-CD8 PET imaging agent","Incidence of adverse events related to tracer administration as assessed by CTCAE v4.0|Appropriate dosing of anti-CD8 imaging agent and PET imaging time points|Pharmacokinetics (PK) of anti-CD8 imaging agent|Immunogenic potential of the anti-CD8 imaging agent by measuring incidence of anti-drug antibodies|Heterogeneity of tumor uptake of the anti-CD8 imaging agent|Correlation of normal organ uptake of the anti-CD8 imaging agent to (serious) adverse events (possibly) related to immune checkpoint inhibitor treatment|Correlation of tumor uptake of the anti-CD8 imaging agent and immune cell CD8 expression|Correlation of anti-CD8 imaging agent normal tissue kinetics with blood kinetics|Dosimetry","University Medical Center Groningen","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201700848","February 14, 2019","February 2021","February 2021","July 23, 2019",,"July 23, 2019","University Medical Center Groningen, Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT04029181"
46,"NCT04195373","A Safety Study of TMV-018 in Patients With Tumors of the Gastrointestinal Tract",,"Not yet recruiting","No Results Available","Gastrointestinal Cancer","Biological: TMV-018 + 5-FC|Biological: TMV-018 + anti-PD-1|Biological: TMV-018 + 5-FC + anti-PD-1","Frequency of Adverse Events|Determine MTD and dose for phase II|Viral replication|Viral distribution|Efficacy of therapy assessed by RECIST 1.1|Efficacy of therapy assessed by changes in tumor marker level","Themis Bioscience GmbH|Assign Data Management and Biostatistics GmbH|SSS International Clinical Research GmbH","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","39","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMV-018-101","April 2020","December 2022","December 2024","December 11, 2019",,"December 11, 2019","University Hospital Bonn, Bonn, Germany|University Hospital Tübingen, Tübingen, Germany",,"https://ClinicalTrials.gov/show/NCT04195373"
47,"NCT03041311","Carboplatin, Etoposide, and Atezolizumab With or Without Trilaciclib (G1T28), a CDK 4/6 Inhibitor, in Extensive Stage Small Cell Lung Cancer (SCLC)",,"Active, not recruiting","No Results Available","Small Cell Lung Cancer","Drug: Trilaciclib|Drug: Placebo|Drug: Carboplatin|Drug: Etoposide|Drug: Atezolizumab","Evaluate the potential of trilaciclib to reduce chemotherapy-induced myelosuppression|Overall survival (OS)|PFS based on RECIST v1.1|Number of patients with objective response (CR or PR) based on RECIST v1.1|Treatment related adverse events (AE) based on NCI CTCAE v4.0|Abnormal Laboratory Events|Incidence of of immune-related adverse events (irAEs)","G1 Therapeutics, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","105","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","G1T28-05|2017-000358-20","April 7, 2017","July 28, 2018","May 2020","February 2, 2017",,"July 26, 2019","Beverly Hills Cancer Center, Beverly Hills, California, United States|St. Jude Heritage Healthcare, Fullerton, California, United States|Loma Linda University, Loma Linda, California, United States|UCLA Medical Center - Santa Monica Hematology And Oncology, Santa Monica, California, United States|Redwood Regional Medical Group (RRMG) - Fountain Grove, Santa Rosa, California, United States|Singing River Health System, Whittier, California, United States|Piedmont Cancer Institute, Atlanta, Georgia, United States|Northside Hospital - Georgia Cancer Specialists, Atlanta, Georgia, United States|Joliet Oncology-Hematology Associates, Joliet, Illinois, United States|Horizon Oncology Center, Lafayette, Indiana, United States|Kentucky One Health, Louisville, Kentucky, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|St. Louis Cancer Care, LLP, North County, Bridgeton, Missouri, United States|The Alvin J. Siteman Cancer Center - Center for Advanced Med, Saint Louis, Missouri, United States|Summit Medical Group, P.A., Morristown, New Jersey, United States|Northern Westchester Hospital, Mount Kisco, New York, United States|Trinity Health - Trinity CancerCare Center, Minot, North Dakota, United States|Oklahoma University - Peggy and Charles Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Gibbs Cancer Center, Spartanburg, South Carolina, United States|Millennium Oncology, Houston, Texas, United States|Virginia Cancer Specialists, Arlington, Virginia, United States|Blue Ridge Cancer Care, Blacksburg, Virginia, United States|Fort Belvoir Community Hospital, Fort Belvoir, Virginia, United States|Complex Oncology Center - Burgas, Burgas, Bulgaria|Multiprofile Hospital for Active Treatment ""Serdika"", Sofia, Sofia, Bulgaria|Multiprofile Hospital for Active Treatment ""Serdika"", Sofia, Bulgaria|East Tallinn Central Hospital Ltd., Clinic of Internal Medicine, Center for Oncology, Tallinn, Estonia|CHU Caen De La Côte De Nacre, Caen, France|Centre Oscar Lambret, Lille, France|Daugavpils Regional Hospital, Department of Oncology, Daugavpils, Latvia|Pauls Stradiņš Clinical University Hospital, Oncology Clinic, Riga, Latvia|Hospital Universitario Son Espases, Palma, Islas Baleares, Spain|Hospital Teresa Herrera, A Coruña, La Coruña, Spain|Hospital Universitario Puerta de Hierro Majadahonda, Majadahonda, Madrid, Spain|Hospital Clínico, San Carlos, Madrid, Spain|H.U. Quirón Dexeus, Hospital Universitario, Barcelona, Spain|Hospital Clinic de Barcelona- Servicio de Oncología Médica, Barcelona, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital 12 de Octubre, Madrid, Spain|H. Donostia, Hospital Donostia- Servicio de Oncología, San Sebastián, Spain|Hospital Universitario Ntra. Sra. de Valme, Sevilla, Spain|Hospital Arnau de Vilanova, Valencia, Spain|Chernivtsi Regional Clinical Oncology Center, Chernivtsi, Ukraine|Dnipropetrovsk City Multispecialty Clinical Hospital #4, Dnipro, Ukraine|Lviv State Regional Treatment and Diagnostics Oncology Center, Lviv, Ukraine",,"https://ClinicalTrials.gov/show/NCT03041311"
48,"NCT03601455","Radiation Therapy and Durvalumab With or Without Tremelimumab in Treating Participants With Unresectable, Locally Advanced, or Metastatic Bladder Cancer",,"Recruiting","No Results Available","Bladder Urothelial Carcinoma|Stage IV Bladder Cancer AJCC v8|Stage IVA Bladder Cancer AJCC v8|Stage IVB Bladder Cancer AJCC v8","Biological: Durvalumab|Radiation: External Beam Radiation Therapy|Biological: Tremelimumab","Incidence of adverse events assessed by Common Terminology Criteria for Adverse Events (CTCAE) version (v.) 4.03 criteria (Safety lead-in cohort)|Progression- free survival (PFS) assessed by Response Evaluation Criteria in Solid Tumors (RECIST) v 1.1 (Expansion cohort)|Local control at the primary irradiate site determined by RECIST v 1.1|Pathologic complete rate (CR) of primary irradiated tumor|Overall response rate (ORR) defined as the number (%) of patients with at least 1 visit response of CR or partial response (PR) determined by RECIST v 1.1|Abscopal response (in patients with metastatic disease) determined by RECIST v 1.1 with response (PR and CR) sites away from the primary irradiated tumor|Duration of response|Disease-specific survival|Overall survival|Incidence of adverse events assessed by National Cancer Institute CTCAE v4.0","Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","74","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17-001894|NCI-2018-01415|P30CA016042","October 26, 2018","November 1, 2021","November 1, 2022","July 26, 2018",,"January 28, 2020","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT03601455"
49,"NCT02873975","A Study of LY2606368 (Prexasertib) in Patients With Solid Tumors With Replicative Stress or Homologous Repair Deficiency",,"Active, not recruiting","No Results Available","Advanced Cancers","Drug: LY2606368","Progression-Free Rate|Objective Response Rate|Toxicity|Overall Survival Rate","Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-281","October 12, 2016","April 2020","April 2022","August 22, 2016",,"December 11, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02873975"
50,"NCT03325816","Nivolumab and 177Lu-DOTA0-Tyr3-Octreotate for Patients With Extensive-Stage Small Cell Lung Cancer",,"Active, not recruiting","No Results Available","Small Cell Lung Cancer|Small Cell Lung Cancer Extensive Stage","Drug: Nivolumab|Radiation: 177Lu-DOTA0-Tyr3-Octreotate","Phase I - Recommended phase II dose (RP2D) of 177Lu-DOTA0-Tyr3-Octreotate|Phase II - Progression Free Survival|Safety profile of 177Lu-DOTA0-Tyr3-Octreotate in combination with nivolumab|Phase II - Overall survival|Phase II - Disease Control Rate|Phase II - Objective Response Rate|Phase II - Metabolic Response","Georgetown University|Bristol-Myers Squibb|Advanced Accelerator Applications","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","9","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-1081","November 20, 2017","March 28, 2019","December 2020","October 30, 2017",,"February 19, 2020","Georgetown Lombardi Comprehensive Cancer Center, Washington, District of Columbia, United States|John Theurer Cancer Center at Hackensack University Medical Center, Hackensack, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT03325816"
51,"NCT03939962","PD-1 Inhibitor Combined With FOLFOX Neoadjuvant Therapy for Resectable Gastric and Gastroesophageal Junctional Adenocarcinoma",,"Not yet recruiting","No Results Available","Gastric Cancer","Drug: SHR1210 combined with FOLFOX","R0 resection rate|pathological complete response (pCR) rate|Progression-free Survival (PFS)|Overall survival(OS)","Henan Cancer Hospital","All","18 Years to 73 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HNGC-004","June 2019","June 1, 2021","June 2021","May 7, 2019",,"May 8, 2019",,,"https://ClinicalTrials.gov/show/NCT03939962"
52,"NCT03572478","Rucaparib and Nivolumab in Patients With Prostate or Endometrial Cancer",,"Active, not recruiting","No Results Available","Prostate Cancer|Endometrial Cancer","Drug: Rucaparib|Drug: Nivolumab","Dose limiting toxicities (DLT) rate of the combination of rucaparib and nivolumab (phase 1)|Frequency of patients with T cell inflammation in the tumor compared between treatment arms (phase 2)|Time to disease progression in prostate cancer patients (phase 2)|Time to disease progression in endometrial cancer patients (phase 2)|Response rate in prostate cancer patients (phase 2)|Response rate in endometrial cancer patients (phase 2)|Changes in number of T cells in tumor samples compared between treatment arms (phase 2)|Correlation of change in T cells in tumor samples and PTEN mutation status (phase 2)","University of Chicago|Bristol-Myers Squibb|Clovis Oncology, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","12","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB18-0154","August 14, 2018","February 29, 2020","December 2021","June 28, 2018",,"May 22, 2020","University of Chicago Medical Center, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03572478"
53,"NCT03526887","Re-challenge Pembrolizumab Study as a Second or Further Line in Patients With Advanced NSCLC","Replay","Recruiting","No Results Available","Lung Cancer","Drug: Pembrolizumab","Efficacy of Pembrolizumab re-challenge measured by Overall Response Rate per RECIST v1.1|Efficacy of Pembrolizumab re-challenge measured by Progression Free Survival per RECIST v1.1.","Spanish Lung Cancer Group","All","18 Years and older   (Adult, Older Adult)","Phase 2","110","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GECP 17/02_REPLAY","July 15, 2018","July 15, 2022","July 15, 2023","May 16, 2018",,"November 22, 2019","Hospital General Universitario de Elche, Elche, Alicante, Spain|H. Germans Trias i Pujol, Badalona, Barcelona, Spain|Hospital Parc Taulí, Sabadell, Barcelona, Spain|Consorci Sanitari de Terrassa, Terrassa, Barcelona, Spain|Complejo Hospitalario de la Coruña, La Coruña, Coruña, Spain|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital de Basurto, Bilbao, Vizcaya, Spain|Hospital de Santa Creu i Sant Pau, Barcelona, Spain|H.U.Vall D´Hebrón, Barcelona, Spain|Hospital Dr. Josep Trueta, Girona, Spain|Complejo Hospitalario de Jaén, Jaén, Spain|Complejo Asistencial Universitario de León, León, Spain|Fundación Jiménez Díaz, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|Puerta de Hierro, Madrid, Spain|H. Son Llàtzer, Palma de Mallorca, Spain|Hospital General Universitario de Valencia, Valencia, Spain|Hospital La Fe, Valencia, Spain|Hospital Miguel Servet, Zaragoza, Spain",,"https://ClinicalTrials.gov/show/NCT03526887"
54,"NCT04239443","Clinical Study of PD-1 Monoclonal Antibody SHR-1210 and Apatinib in Advanced NSCLC, Soft Tissue Sarcoma, and Uterine Cancer",,"Recruiting","No Results Available","Advanced Non Small Cell Lung Cancer|Uterine Cancer|Soft Tissue Sarcoma","Drug: PD-1 inhibitor|Drug: Apatinib","Objective remission rate (ORR)|Progression free survival (PFS)|Overall survival (OS)|The number of Circulating Tumor Cell (CTC)|Analysis of PD-L1 expression on Circulating Tumor Cell (CTC) and tumor tissue|Duration of response(DOR)|Disease control rate(DCR)","Hunan Cancer Hospital|Jiangsu HengRui Medicine Co., Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","120","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HNCHIIT001","January 30, 2019","March 31, 2022","March 31, 2022","January 27, 2020",,"January 27, 2020","Hunan cancer Hospital, Changsha, Hunan, China",,"https://ClinicalTrials.gov/show/NCT04239443"
