"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
84,"NCT04187872","LITT and Pembrolizumab in Recurrent Brain Metastasis","TORCH","Recruiting","No Results Available","Melanoma|Non-small Cell Lung Carcinoma (NSCLC)|Renal Cell Carcinoma (RCC)|Small-cell Lung Cancer|Head and Neck Squamous Cell Cancer|Classical Hodgkin Lymphoma|Primary Mediastinal Large B-Cell Lymphoma|Urothelial Carcinoma|Microsatellite Instability-High Cancer|Gastric Cancer|Esophageal Cancer|Cervical Cancer|Hepatocellular Carcinoma|Merkel Cell Carcinoma|Brain Metastases, Adult","Combination Product: LITT + Pembrolizumab","Immune Effect of LITT plus pembrolizumab|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]) of LITT plus pembrolizumab","University of Florida|Monteris Medical","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 1","15","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB201902411|OCR26353","January 10, 2020","January 2022","October 2023","December 5, 2019",,"May 6, 2020","McKnight Brain Institute of the University of Florida, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04187872"
85,"NCT03523572","Trastuzumab Deruxtecan With Nivolumab in Advanced Breast and Urothelial Cancer",,"Recruiting","No Results Available","Breast Cancer|Urothelial Carcinoma","Drug: Trastuzumab deruxtecan|Drug: Nivolumab","Part 1: Number of participants with dose-limiting toxicity at each dose level|Part 2: Dose expansion - Objective response rate (ORR) as assessed by Central Imaging Review|Number of participants with treatment emergent adverse events (TEAEs) during the trial|Duration of Response (DoR)|Disease Control Rate (DCR)|Progression Free Survival (PFS)|Time to Response based on central review|Overall Survival (OS)|ORR","Daiichi Sankyo, Inc.|Bristol-Myers Squibb|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 1","99","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DS8201-A-U105|2018-000371-32","June 20, 2018","September 2020","September 2020","May 14, 2018",,"May 21, 2020","UCLA - Medical Center, Santa Monica, California, United States|Yale University, New Haven, Connecticut, United States|University of Miami Hospital & Clinics/Sylvester Comprehensive Cancer Center, Miami, Florida, United States|Norton Cancer Institute, Louisville, Kentucky, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Levine Cancer Institute Carolinas Healthcare System, Charlotte, North Carolina, United States|Gabrail Cancer Center Research, Canton, Ohio, United States|Tennessee Oncology - Sara Cannon Research Institute, Nashville, Tennessee, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|University of Washington Medical Center, Seattle, Washington, United States|AZ Groeninge, Kortrijk, West-Vlaanderen, Belgium|Cliniques Universitaires Saint-Luc, Brussels, Belgium|GZA Hospital Campus Sint-Augustinus, Wilrijk, Belgium|Centre Georges Francois Leclerc, Dijon, France|ICO Rene Gauducheau, Saint-Herblain, France|Charite Campus Benjamin Franklin, Berlin, Brandenburg, Germany|University Hospital Frankfurt, Frankfurt, Hessen, Germany|University Cancer Center, Dresden, Sachsen, Germany|Ospedale San Raffaele, Milano, Italy|Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, Italy|Azienda Ospedaliera Universitaria Senese U.O.C. Immunoterapia Oncologica, Siena, Italy|Hospital Gregorio Maranon Madrid Spain, Madrid, Spain|MD Anderson Cancer Center Madrid, Madrid, Spain|Hospital Universitario Ramon y Cajal Madrid, Madrid, Spain|Fundacion Jimenez Diaz, Madrid, Spain|START Madrid CIOCC, Madrid, Spain|Sarah Cannon Research Institute UK, London, England, United Kingdom|Royal Marsden Hospital (Surrey), London Borough of Sutton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03523572"
86,"NCT03288545","A Study of Enfortumab Vedotin Alone or With Other Therapies for Treatment of Urothelial Cancer","EV-103","Recruiting","No Results Available","Carcinoma, Transitional Cell|Urinary Bladder Neoplasms|Urologic Neoplasms|Renal Pelvis Neoplasms|Urothelial Cancer|Ureteral Neoplasms|Urethral Neoplasms","Drug: enfortumab vedotin (EV)|Drug: pembrolizumab|Drug: cisplatin|Drug: carboplatin|Drug: gemcitabine","Type, incidence, severity, seriousness, and relatedness of adverse events (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|Type, incidence, and severity of laboratory abnormalities (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|Pathological complete response (pCR) rate per local pathology review (MIBC coohorts only)|Objective response rate (ORR) per Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1) by blinded independent central review (BICR)|Incidence of dose-limiting toxicity (DLT)|Confirmed ORR by investigator assessment according to RECIST 1.1 (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|ORR by BICR according to RECIST 1.1 (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|Confirmed ORR per the modified RECIST 1.1 for immune-based therapeutics (iRECIST) (Dose escalation and Part 1-3 cohorts with pembrolizumab only)|Disease control rate (DCR) by investigator assessment according to RECIST 1.1 (la/mUC cohorts only)|DCR by BICR according to RECIST 1.1 (la/mUC cohorts only)|DCR by investigator assessment according to iRECIST (Dose escalation and Part 1-3 cohorts using pembrolizumab only)|Duration of response (DOR) by investigator assessment according to RECIST 1.1 (la/mUC cohorts only)|DOR by BICR according to RECIST 1.1 (la/mUC cohorts only)|DOR by investigator assessment according to iRECIST (Dose escalation and Part 1-3 cohorts with pembrolizumab only)|Progression free survival on study therapy (PFS1) by investigator assessment according to RECIST 1.1 (la/mUC cohorts only)|Progression free survival on study therapy (PFS1) by BICR according to RECIST 1.1 (la/mUC cohorts only)|PFS1 by investigator assessment according to iRECIST (Dose expansion and Part 1-3 cohorts with pembrolizumab only)|Progression free survival (PFS) on study therapy by investigator assessment according to RECIST 1.1 (MIBC cohorts only)|Overall survival (OS) (all cohorts)|Pharmacokinetics (PK) parameter for enfortumab vedotin: Maximum concentration (Cmax) (Dose escalation and Expansion Parts 1 to 3; non-randomized (la/mUC cohorts only)|PK parameter for monomethyl auristatin E (MMAE): Cmax (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|PK parameter for enfortumab vedotin: Time to maximum concentration (Tmax) (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|PK parameter for MMAE: Tmax (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|PK parameter for enfortumab vedotin: Area under the concentration-time curve (AUC) (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|PK parameter for MMAE: AUC (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|Incidence of antitherapeutic antibodies (ATA) to enfortumab vedotin (Dose escalation and Expansion Parts 1 to 3; non-randomized la/mUC cohorts only)|pCR rate by central pathology review (MIBC cohorts only)|PaR rate by local pathology review (MIBC cohorts only)|Pathological response (PaR) rate by central pathology review (MIBC cohorts only)|Disease-free survival (DFS) by investigator assessment according to RECIST 1.1 (MIBC cohorts only)|Type, incidence, severity, seriousness, and relatedness of AEs (Randomized Cohort K and MIBC cohorts only)|Type, incidence, and severity of laboratory abnormalities (Randomized Cohort K and MIBC cohorts only)|Percentage of planned surgeries delayed due to treatment-related AEs (MIBC cohorts only)","Astellas Pharma Global Development, Inc.|Seattle Genetics, Inc.|Astellas Pharma Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","407","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SGN22E-002","October 11, 2017","July 2023","March 2026","September 20, 2017",,"May 14, 2020","Alaska Urological Institute, Anchorage, Alaska, United States|Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|Highlands Oncology Group, Fayetteville, Arkansas, United States|UC San Diego / Moores Cancer Center, La Jolla, California, United States|University of California Irvine - Newport, Orange, California, United States|University of California at San Francisco, San Francisco, California, United States|Stanford Cancer Center / Blood & Marrow Transplant Program, Stanford, California, United States|University of Colorado Hospital / University of Colorado, Aurora, Colorado, United States|Yale Cancer Center, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|Winship Cancer Institute / Emory University School of Medicine, Atlanta, Georgia, United States|Decatur Memorial Hospital - Illinois, Decatur, Illinois, United States|Cardinal Bernardin Cancer Center / Loyola University Medical Center, Maywood, Illinois, United States|University of Kansas Cancer Center, Westwood, Kansas, United States|Tulane University Hospital and Clinic, New Orleans, Louisiana, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|New York University (NYU) Cancer Institute, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|UNC Lineberger Comprehensive Cancer Center / University of North Carolina, Chapel Hill, North Carolina, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Case Western Reserve University / University Hospitals Case Medical Center, Cleveland, Ohio, United States|Medical University of South Carolina/Hollings Cancer Center, Charleston, South Carolina, United States|Medical College of Wisconsin (Milwaukee), Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03288545"
87,"NCT02900664","A Study of PDR001 in Combination With CJM112, EGF816, Ilaris® (Canakinumab) or Mekinist® (Trametinib)",,"Active, not recruiting","No Results Available","Colorectal Cancer, Triple Negative Breast Cancer, NSCLC - Adenocarcinoma","Biological: PDR001|Biological: ACZ885|Biological: CJM112|Drug: TMT212|Drug: EGF816","Frequency of treatment-emergent Adverse Events (AEs) and Serious Adverse Events (SAEs) as a measure of safety|Changes between baseline and post-baseline laboratory parameters and vital signs.|Incidence of dose limiting toxicities (DLTs) of treatment (Escalation only)|Frequency of dose interruptions|Dose intensities|Severity of treatment-emergent Adverse Events (AEs) and Serious Adverse Events (SAEs) as a measure of safety|Frequency of dose reductions|Key secondary: Histopathology of tumor infiltrating lymphocytes (TILs)|Changes from baseline in electrocardiogram (ECG) parameters|Best overall response (BOR)|Progression free survival (PFS) per irRC and RECIST v1.1|Treatment Free Survival (TFS)|Presence and/or concentration of anti-PDR001 antibodies.|Serum concentration of PDR001, canakinumab, CJM112|Plasma concentrations of trametinib and EGF816|Key secondary: Histopathology of myeloid cell infiltrate by IHC (such as CD8, FoxP3 and myeloid markers as appropriate).|PK parameters (Eg. TMax) of EGF816|PK parameters (Eg. TMax) of trametinib|PK parameter (Eg. TMax) of PDR001|PK parameters (Eg. TMax) of canakinumab|PK parameters (Eg. TMax) of CJM112|Presence and/or concentration of anti-canakinumab antibodies.|Presence and/or concentration of anti-CJM112 antibodies.","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1","290","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CPDR001X2103|2016-000633-49","August 23, 2016","June 12, 2020","June 14, 2020","September 14, 2016",,"February 27, 2020","Novartis Investigative Site, Baltimore, Maryland, United States|Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Nashville, Tennessee, United States|Novartis Investigative Site, Houston, Texas, United States|Novartis Investigative Site, Brussels, Belgium|Novartis Investigative Site, Wilrijk, Belgium|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Montreal, Quebec, Canada|Novartis Investigative Site, Lyon Cedex, France|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Toulouse Cedex 9, France|Novartis Investigative Site, Villejuif Cedex, France|Novartis Investigative Site, Tel Aviv, Israel|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Rozzano, MI, Italy|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Hospitalet de LLobregat, Catalunya, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Tainan, Taiwan|Novartis Investigative Site, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT02900664"
88,"NCT02836795","Safety and Tolerability of Recombinant Humanized Anti-PD-1 Monoclonal Antibody Toripalimab for Patients With Advanced Solid Tumors",,"Active, not recruiting","No Results Available","Melanoma|Urological Cancer","Biological: humanized anti-PD-1 monoclonal antibody Toripalimab (JS001)","Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|PD-1 receptor occupancy of blood|Objective Response Rate (ORR) by irRC and RECIST 1.1|Duration of Response (DOR) by irRC and RECIST 1.1|Disease Control Rate (DCR) by irRC and RECIST 1.1|Time to response (TTR) by irRC and RECIST 1.1|Progression-free survival(PFS) by irRC and RECIST 1.1|Overall survival (OS) by irRC and RECIST 1.1|Maximum Plasma Concentration (Cmax) after single dose injection of Anti-PD-1 Monoclonal Antibody (mAb)|Peak Time (Tmax) after single dose injection of Anti-PD-1 mAb|Area Under the Curve (AUC) after single dose injection of Anti-PD-1 mAb|t1/2 after single dose injection of Recombinant Humanized Anti-PD-1 mAb|Plasma clearance (CL) after single dose injection of Anti-PD-1 mAb|Apparent volume of distribution (V) after single dose injection of Anti-PD-1 mAb|Minimum Plasma Concentration (Cmin) of steady state after multiple dose injection of Anti-PD-1 mAb|Average Plasma Concentration (Cav) of steady state after multiple dose injection of Anti-PD-1 mAb|degree of fluctuation (DF) of steady state after multiple dose injection of Anti-PD-1 mAb|Apparent volume of distribution of steady state (Vss) after multiple dose injection of Anti-PD-1 mAb","Shanghai Junshi Bioscience Co., Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","35","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Junshi-JS001-BJZL-I","April 2016","September 2018","September 2020","July 19, 2016",,"October 22, 2019","Beijing Cancer Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02836795"
89,"NCT01416038","Phase 1 Study of a Cancer Vaccine to Treat Patients With Advanced Stage Ovarian, Fallopian or Peritoneal Cancer",,"Completed","No Results Available","Ovarian Cancer|Fallopian Tube Cancer|Peritoneal Cancer","Biological: DPX-Survivac|Drug: low dose cyclophosphamide (oral)","Number of reported adverse events|Levels of cell mediated immunity targeting the survivin epitopes","ImmunoVaccine Technologies, Inc. (IMV Inc.)","Female","18 Years and older   (Adult, Older Adult)","Phase 1","19","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ONC-DPX-Survivac-01","December 2011","May 2013","May 2013","August 12, 2011",,"April 21, 2017","Roswell Park Cancer Institute, Buffalo, New York, United States|Winthrop University Hospital, Mineola, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Oregon Health & Science University, Portland, Oregon, United States|Mary Crowley Cancer Research Center, Dallas, Texas, United States|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Princess Margaret Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT01416038"
90,"NCT03468426","A Study to Test Different Doses of BI 836880 Combined With BI 754091 in Patients With Advanced Non-small Cell Lung Cancer Followed by Other Types of Advanced Solid Tumours",,"Recruiting","No Results Available","Non-squamous, Non-Small-Cell Lung Cancer|Neoplasms","Drug: BI 836880|Drug: BI 754091","PART 1: Number of patients with Dose Limiting Toxicities (DLTs) within the first cycle of treatment|PART 2: Shrinkage estimator of objective response|PART 1:Adverse events (AEs), drug related AEs, drug related AEs leading to dose reduction or discontinuation during treatment period|PART 1: AUC 0-504h (area under the concentration-time curve of the analyte in plasma over the time interval from 0 to 504 hours after the first and fourth infusion cycle)|PART 2:Adverse events (AEs), drug related AEs, drug related AEs leading to dose reduction or discontinuation during treatment period|PART 2: Disease control (DC)|PART 2: Duration of objective response (DoR)|PART 2: Progression-free survival (PFS)|PART 2: Tumour shrinkage (in millimeters)|PART 2: AUC 0-504h (area under the concentration-time curve of the analyte in plasma over the time interval from 0 to 504 hours after the first and fourth infusion cycle)|PART 1: Cmax (maximum measured concentration of the analyte in plasma)|PART 1: tmax (time from dosing to maximum measured concentration of the analyte in plasma)|PART 2: Cmax (maximum measured concentration of the analyte in plasma)|PART 2: tmax (time from dosing to maximum measured concentration of the analyte in plasma)","Boehringer Ingelheim","All","18 Years and older   (Adult, Older Adult)","Phase 1","245","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1336-0011|2017-001378-41","May 3, 2018","August 2, 2021","December 15, 2021","March 16, 2018",,"May 19, 2020","CTR Georges-François Leclerc, Dijon, France|HOP Timone, Marseille Cedex 5, France|INS Curie, Paris, France|CTR Eugène Marquis, Rennes Cedex, France|HOP Nord Laënnec, Saint-Herblain, France|HOP Civil, Strasbourg, France|Universitätsklinikum Augsburg, Augsburg, Germany|Universitätsklinikum Carl Gustav Carus Dresden, Dresden, Germany|Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Mainz, Germany|Universitätsklinikum Regensburg, Regensburg, Germany|Seoul National University Bundang Hospital, Seongnam, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Hospital Vall d'Hebron, Barcelona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT03468426"
91,"NCT03086174","Tolerability and Pharmacokinetics of Toripalimab in Combination With Axitinib in Patients With Kidney Cancer and Melanoma",,"Active, not recruiting","No Results Available","Kidney Cancer Stage Iv|Advanced Melanoma","Biological: humanized anti-PD-1 monoclonal antibody Toripalimab","Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|PD-1 receptor occupancy of blood|Objective Response Rate (ORR) by irRC and RECIST 1.1|Duration of Response (DOR) by irRC and RECIST 1.1|Disease Control Rate (DCR) by irRC and RECIST 1.1|Time to response (TTR) by irRC and RECIST 1.1|Progression-free survival(PFS) by irRC and RECIST 1.1|Overall survival (OS) by irRC and RECIST 1.1|PK Parameter: Maximum Plasma Concentration (Cmax)|PK Parameter: Peak Time (Tmax)|PK Parameter: t1/2|PK Parameter: Area Under the Curve (AUC)|PK Parameter: Plasma clearance (CL)|PK Parameter: Apparent volume of distribution (V)|PK Parameter: Minimum Plasma Concentration (Cmin)|PK Parameter: Average Plasma Concentration (Cav)|PK Parameter: degree of fluctuation (DF)|PK Parameter: Apparent volume of distribution of steady state (Vss)","Shanghai Junshi Bioscience Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Junshi-JS001-008","March 31, 2017","December 2019","December 2020","March 22, 2017",,"March 11, 2019","Beijing Cancer Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03086174"
92,"NCT03728179","RACIN in Patients With Advanced TIL-negative Solid Tumors","RACIN","Recruiting","No Results Available","Solid Tumor, Adult","Combination Product: Low dose irradiation + Nivolumab + Ipilimumab + Aspirin","Phases Ia and Ib: Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Maximum Tolerated dose (MTD) or recommended phase Ib dose of low-dose irradiation for radio-immunotherapy combination (RP1bD).|Objective response rate (ORR)|Disease Control Rate (DCR)|Progression free survival (PFS) rate|Time to Progression (TTP):|Overall survival (OS)","Centre Hospitalier Universitaire Vaudois","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CHUV-DO-0003-RACIN_2017","January 16, 2019","March 15, 2023","March 15, 2023","November 1, 2018",,"March 23, 2020","Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland",,"https://ClinicalTrials.gov/show/NCT03728179"
93,"NCT03772561","Phase I Study of AZD5363 + Olaparib + Durvalumab in Patients With Advanced or Metastatic Solid Tumor Malignancies","MEDIPAC","Recruiting","No Results Available","Solid Tumor, Adult","Drug: AZD5363+Olaparib+Durvalumab","Objective response rate|Best objective response","National University Hospital, Singapore","All","21 Years to 99 Years   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MC01/01/18|2018/00137","December 3, 2018","December 31, 2021","December 31, 2023","December 11, 2018",,"December 24, 2018","National University Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT03772561"
94,"NCT02857166","Study of JS001 in Participants With Advanced Solid Tumors",,"Completed","No Results Available","Solid Tumors","Biological: humanized anti-PD-1 monoclonal antibody toripalimab","Number of Participants With Abnormal Laboratory Values and/or Adverse Events That Are Related to Treatment|Anti-Drug Antibody of JS001 in Chinese patients|Objective Response Rate (ORR)|Duration of Response (DOR)|Progression-Free survival (PFS)|Overall Survival (OS)|DLT in patients with solid tumor treated with JS001.|PD-1 receptor occupancy of blood|Maximum Plasma Concentration (Cmax) after single dose injection of Anti-PD-1 Monoclonal Antibody (mAb)|Peak Time (Tmax) after single dose injection of Anti-PD-1 mAb|Area Under the Curve (AUC) after single dose injection of Anti-PD-1 mAb Area Under the Curve [AUC]). Area Under the Curve (AUC) after single dose injection of Recombinant Humanized Anti-PD-1 Monoclonal Antibody|t1/2 after single dose injection of Recombinant Humanized Anti-PD-1 mAb|Plasma clearance (CL) after single dose injection of Anti-PD-1 mAb|Apparent volume of distribution (V) after single dose injection of Anti-PD-1 mAb|Minimum Plasma Concentration (Cmin) of steady state after multiple dose injection of Anti-PD-1 mAb|Average Plasma Concentration (Cav) of steady state after multiple dose injection of Anti-PD-1 mAb|Degree of fluctuation (DF) of steady state after multiple dose injection of Anti-PD-1 mAb|Apparent volume of distribution of steady state (Vss) after multiple dose injection of Anti-PD-1 mAb","Shanghai Junshi Bioscience Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Junshi-JS001-ZSZL-I","March 2016","September 2017","December 2018","August 5, 2016",,"October 23, 2019","Sun Yat-sen UniversityCancer center, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT02857166"
95,"NCT03901573","High-Risk Skin Cancers With Atezolizumab Plus NT-I7",,"Recruiting","No Results Available","Melanoma|Merkel Cell Carcinoma|Cutaneous Squamous Cell Carcinoma","Drug: NT-I7|Drug: atezolizumab","Safety and Tolerability of NT-I7 in combination with atezolizumab to determine the maximum tolerated dose (MTD) and/or the recommended Phase 2 dose (RP2D) of NT-I7|To evaluate immunogenicity of NT-I7 and atezolizumab|Preliminary assessment of the Objective Response Rate (ORR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Disease Control Rate (DCR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Duration of Objective Response (DOR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Progression Free Survival (PFS) of NT-I7 in combination with atezolizumab|Preliminary assessment the Overall Survival (OS) of NT-I7 in combination with atezolizumab","NeoImmuneTech|Immune Oncology Network","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","84","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NIT-106|ION-02","December 26, 2019","February 2024","May 2024","April 3, 2019",,"February 7, 2020","Dana Farber, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Mt Sinai, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|Providence Portland Medical Center, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT03901573"
96,"NCT03509584","Phase I Multicenter Trial Combining Nivolumab, Ipilimumab and Hypo-fractionated Radiotherapy for Pretreated Advanced Stage Non-small Cell Lung Cancer Patients",,"Not yet recruiting","No Results Available","Non-small Cell Lung Cancer","Radiation: hypofractionated radiotherapy|Drug: nivolumab|Drug: Ipilimumab","Incidence of immune related adverse events","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-21|2017-001198-18","April 2018","April 2020","April 2021","April 26, 2018",,"April 26, 2018","Assistance Publique Hôpitaux de Marseille, Marseille, France",,"https://ClinicalTrials.gov/show/NCT03509584"
97,"NCT04198766","Study of INBRX-106 in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist)",,"Recruiting","No Results Available","Solid Tumor|Non-Small Cell Lung Cancer|Melanoma|Head and Neck Cancer|Gastric Cancer|Renal Cell Carcinoma|Urothelial Carcinoma","Drug: INBRX-106 - Hexavalent OX40 agonist antibody|Drug: Pembrolizumab","Frequency of adverse events of INBRX-106 as single agent and in combination with pembrolizumab|Severity of adverse events of INBRX-106 as single agent and in combination with pembrolizumab|MTD and/or RP2D of INBRX-106 as single agent and in combination with pembrolizumab|Area under the serum concentration time curve (AUC) of INBRX-106|Maximum observed serum concentration (Cmax) of INBRX-106|Trough observed serum concentration (Ctrough) of INBRX-106|Time to Cmax (Tmax) of INBRX-106|Immunogenicity of INBRX-106","Inhibrx, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","150","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ph 1 INBRX-106","December 10, 2019","December 2, 2022","March 15, 2023","December 13, 2019",,"April 24, 2020","START Midwest, Grand Rapids, Michigan, United States|Providence Cancer Institute, Portland, Oregon, United States|NEXT Oncoloy, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04198766"
98,"NCT03167853","Study of JS001 in Patients With Advanced Neuroendocrine Tumors",,"Completed","No Results Available","Neuroendocrine Tumors","Biological: humanized anti-PD-1 monoclonal antibody","Overall response rate (ORR)|Duration of response (DOR)|Progression-free survival|Overall survival|Immune Response Criteria by irRECIST (immune response duration of response)|Immune Response Criteria by irRECIST (immune response overall response rate)|Biochemical response|Correlation analysis of PD-L1/CD8 expression of tumor and ORR|Correlation analysis of circulating tumor cells (CTC) and ORR","Peking University|Shanghai Junshi Biosciencee Co.,Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HMO-JS001-Ib-NEC-02","April 6, 2017","December 11, 2018","May 11, 2019","May 30, 2017",,"June 21, 2019","Beijing Cancer Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03167853"
